epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.169,1.27931,1.13411,1.20389,0.78082,0.63614,0.72069,0.34756,1.36017,2.17851,1.25075,0.000658009,0.000658009,0.000658009
2,299.384,1.30322,1.12039,1.23888,0.75106,0.65997,0.71856,0.36126,1.2581,6.18202,1.16453,0.000668961,0.000668961,0.000668961
