epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,671.63,1.35342,1.55919,1.5173,0.66099,0.57012,0.60502,0.31843,1.37037,6.23825,1.47746,0.000658009,0.000658009,0.000658009
2,1365.47,1.27311,1.33698,1.43592,0.8172,0.71844,0.79419,0.40758,1.24965,4.64108,1.33359,0.000668961,0.000668961,0.000668961
